INSTRUMENT REF,INSTRUMENT GROUP,INSTRUMENT TYPE
AM01L_A_NaI_impregnated_02,air_sampler,glass_sinter
AM01L_A_Teflonfilter_02,air_sampler,filter_3pack
AM01L_A_Whatman_Teflon_filters_02,air_sampler,filter_3pack
AM01L_A_Whatmanfilter_02,air_sampler,filter_3pack
AM01L_pg_01,precip_sampler,precip_gauge
AM01L_uv_abs_02,air_monitor,uv_abs
AR01L_sja_o3,air_monitor,uv_abs
AR01L_uv_abs_LQO2,air_monitor,uv_abs
AR01L_uv_abs_MBI1,air_monitor,uv_abs
AR01L_uv_abs_PIL2,air_monitor,uv_abs
AR01L_uv_abs_USH3,air_monitor,uv_abs
AT01L_DA80H_458,air_sampler,high_vol_sampler
AT01L_NA,NA,NA
AT01L_abs_01,air_sampler,abs_solution
AT01L_abs_02,air_sampler,abs_solution
AT01L_aws_02,phys_monitor,aws
AT01L_aws_05,phys_monitor,aws
AT01L_aws_48,phys_monitor,aws
AT01L_bs_01,precip_sampler,bulk_sampler
AT01L_bs_02,precip_sampler,bulk_sampler
AT01L_bulk_2,precip_sampler,bulk_sampler
AT01L_f1p_01,air_sampler,filter_1pack
AT01L_f1p_02,air_sampler,filter_1pack
AT01L_f3p_02,air_sampler,filter_3pack
AT01L_f3p_02_dup,air_sampler,filter_3pack
AT01L_hvs-02,air_sampler,high_vol_sampler
AT01L_hvs_02,air_sampler,high_vol_sampler
AT01L_hvs_05,air_sampler,high_vol_sampler
AT01L_hvs_48,air_sampler,high_vol_sampler
AT01L_hvs_pops_02,air_sampler,high_vol_sampler
AT01L_precip_gauge_48,precip_sampler,precip_gauge
AT01L_wados_02,precip_sampler,wet_only_sampler
AT01L_wados_03,precip_sampler,wet_only_sampler
AT01L_wados_04,precip_sampler,wet_only_sampler
AT01L_wados_05,precip_sampler,wet_only_sampler
AT01L_wados_48,precip_sampler,wet_only_sampler
AT02L_Thermo_5020_SPA_at02,air_monitor,sulphate_monitor
AT02L_ecoc_02,air_monitor,online_thermal-optical_analysis
AT02L_f3p_02,air_sampler,filter_3pack
AT02L_wados_02,precip_sampler,wet_only_sampler
AT02L_wados_03,precip_sampler,wet_only_sampler
AT02L_wados_04,precip_sampler,wet_only_sampler
AT02L_wados_05,precip_sampler,wet_only_sampler
AT02L_wados_48,precip_sampler,wet_only_sampler
AT03L_DA80H_448,air_sampler,high_vol_sampler
AT03L_DA80H_450,air_sampler,high_vol_sampler
AT03L_DA80H_451,air_sampler,high_vol_sampler
AT03L_NA,NA,NA
AT03L_OPSIS5,air_monitor,doas
AT03L_TEI42CTL_817,air_monitor,chemiluminescence_molybdenum
AT03L_TEI42i_751,air_monitor,chemiluminescence_molybdenum
AT03L_TEI49i_008,air_monitor,uv_abs
AT03L_TEI49i_106,air_monitor,uv_abs
AT03L_bgps_05,air_sampler,beta_gauge_particulate_sampler
AT03L_chemilum_2,air_monitor,chemiluminescence_molybdenum
AT03L_chemilum_4,air_monitor,chemiluminescence_photolytic
AT03L_chemilum_48,air_monitor,chemiluminescence_molybdenum
AT03L_chemilum_5,air_monitor,chemiluminescence_molybdenum
AT03L_filter_abs_solution_2,air_sampler,filter_abs_solution
AT03L_hvs_02,air_sampler,high_vol_sampler
AT03L_hvs_02_pm1,air_sampler,high_vol_sampler
AT03L_hvs_04,air_sampler,high_vol_sampler
AT03L_hvs_05,air_sampler,high_vol_sampler
AT03L_hvs_48,air_sampler,high_vol_sampler
AT03L_precip_gauge_02,precip_sampler,precip_gauge
AT03L_precip_gauge_05,precip_sampler,precip_gauge
AT03L_uv_abs_02,air_monitor,uv_abs
AT03L_uv_abs_03,air_monitor,uv_abs
AT03L_uv_abs_04,air_monitor,uv_abs
AT03L_uv_abs_05,air_monitor,uv_abs
AT03L_uv_abs_30,air_monitor,uv_abs
AT03L_uv_abs_32,air_monitor,uv_abs
AT03L_uv_abs_33,air_monitor,uv_abs
AT03L_uv_abs_34,air_monitor,uv_abs
AT03L_uv_abs_37,air_monitor,uv_abs
AT03L_uv_abs_38,air_monitor,uv_abs
AT03L_uv_abs_40,air_monitor,uv_abs
AT03L_uv_abs_41,air_monitor,uv_abs
AT03L_uv_abs_42,air_monitor,uv_abs
AT03L_uv_abs_43,air_monitor,uv_abs
AT03L_uv_abs_44,air_monitor,uv_abs
AT03L_uv_abs_45,air_monitor,uv_abs
AT03L_uv_abs_46,air_monitor,uv_abs
AT03L_uv_abs_47,air_monitor,uv_abs
AT03L_uv_abs_48,air_monitor,uv_abs
AT03L_uv_abs_49,air_monitor,uv_abs
AT03L_uv_abs_50,air_monitor,uv_abs
AT03L_uv_fluoresc,air_monitor,uv_fluoresc
AT03L_uv_fluoresc_04,air_monitor,uv_fluoresc
AT03L_uv_fluoresc_05,air_monitor,uv_fluoresc
AT03L_uv_fluoresc_2,air_monitor,uv_fluoresc
AT03L_uv_fluoresc_30,air_monitor,uv_fluoresc
AT03L_uv_fluoresc_4,air_monitor,uv_fluoresc
AT03L_uv_fluoresc_48,air_monitor,uv_fluoresc
AT03L_uv_fluoresc_5,air_monitor,uv_fluoresc
AT03L_uvabs_49,air_monitor,uv_abs
AT05L_TSI_3022_A,air_monitor,cpc
AU01L_DMT_CCN-100,air_monitor,CCNC
AU01L_MAAP-CG,air_monitor,filter_absorption_photometer
AU01L_MAAP-CG_pm1,air_monitor,nephelometer
AU01L_TSI_3010_CGO,air_monitor,cpc
AU01L_cgo_uv_abs,air_monitor,uv_abs
AU01L_neph-CG,air_monitor,nephelometer
BE01L_00KK01004,air_sampler,low_vol_sampler
BE01L_00KK0102,precip_sampler,wet_only_sampler
BE01L_00KK01021,air_sampler,low_vol_sampler
BE01L_00KK0104,air_sampler,low_vol_sampler
BE01L_00KN02,air_sampler,filter_1pack
BE01L_06KK01002,precip_sampler,wet_only_sampler
BE01L_06KK01004,precip_sampler,wet_only_sampler
BE01L_06KK01024,precip_sampler,wet_only_sampler
BE01L_30KK01,precip_sampler,pluviometer
BE01L_30KK01007,precip_sampler,wet_only_sampler
BE01L_30KK0101,precip_sampler,wet_only_sampler
BE01L_30KK0101_off,precip_sampler,pluviometer
BE01L_30KK0101_pluv,precip_sampler,pluviometer
BE01L_30KK01_1,precip_sampler,wet_only_sampler
BE01L_30KK02,precip_sampler,wet_only_sampler
BE01L_39KK0101,air_monitor,passive_sampler
BE01L_39KK01019,air_monitor,passive_sampler
BE01L_39KK01019_39KK01020,air_monitor,passive_sampler
BE01L_44N012,air_monitor,chemiluminescence_photolytic
BE01L_44N012004,air_monitor,chemiluminescence_molybdenum
BE01L_44N012011,air_monitor,chemiluminescence_molybdenum
BE01L_44N029,air_monitor,chemiluminescence_photolytic
BE01L_44N029005,air_monitor,chemiluminescence_molybdenum
BE01L_44N029016,air_monitor,chemiluminescence_molybdenum
BE01L_60N029,air_sampler,high_vol_sampler
BE01L_60N029001,air_sampler,low_vol_sampler
BE01L_65N029,precip_sampler,bulk_sampler
BE01L_65N029001,precip_sampler,bulk_sampler
BE01L_80KK0101,precip_sampler,wet_only_sampler
BE01L_BRE01,air_sampler,filter_1pack
BE01L_BRE01bis,air_sampler,filter_1pack
BE01L_BRU01,precip_sampler,wet_only_sampler
BE01L_CAMP,precip_sampler,wet_only_sampler
BE01L_CAMP_dup,precip_sampler,wet_only_sampler
BE01L_Hg_mon_13,air_monitor,Hg_mon
BE01L_IFT_LDMA_BE02,air_monitor,smps
BE01L_KNO01,air_sampler,filter_1pack
BE01L_MN604,precip_sampler,bulk_sampler
BE01L_NO12,air_monitor,chemiluminescence_photolytic
BE01L_NO12_1,air_monitor,uv_fluoresc
BE01L_NO12_dup,air_monitor,chemiluminescence_photometer
BE01L_NO29,air_monitor,chemiluminescence_photolytic
BE01L_NO29_1,air_monitor,uv_fluoresc
BE01L_VMM_pluvio,precip_sampler,precip_gauge
BE01L_abs_1d_14,air_sampler,abs_tube
BE01L_abs_1mo_13,air_monitor,uv_abs
BE01L_chemil_11,air_monitor,chemiluminescence_photolytic
BE01L_chemil_13,air_monitor,chemiluminescence_photolytic
BE01L_chemilum_11,air_monitor,chemiluminescence_photolytic
BE01L_chemilum_13,air_monitor,chemiluminescence_photolytic
BE01L_chemilum_h_0001,air_monitor,chemiluminescence_photolytic
BE01L_chemilum_h_0032,air_monitor,chemiluminescence_photolytic
BE01L_chemilum_h_0035,air_monitor,chemiluminescence_photolytic
BE01L_f1p_1,air_sampler,filter_1pack
BE01L_f1p_14,air_sampler,filter_1pack
BE01L_f1p_1d_14,air_sampler,filter_1pack
BE01L_f1p_1mo_14,air_sampler,filter_1pack
BE01L_flame_photo_1,air_monitor,flame_photometry
BE01L_hvs_13,air_sampler,high_vol_sampler
BE01L_lvs_14,air_sampler,low_vol_sampler
BE01L_pluvi_14,precip_sampler,pluviometer
BE01L_ps_14,air_monitor,passive_sampler
BE01L_uv_abs_h_0001,air_monitor,uv_abs
BE01L_uv_abs_h_0032,air_monitor,uv_abs
BE01L_uv_abs_h_0035,air_monitor,uv_abs
BE01L_wados_1,precip_sampler,wet_only_sampler
BE01L_wados_14,precip_sampler,wet_only_sampler
BE01L_wados_14_dup,precip_sampler,wet_only_sampler
BE01L_wados_4w_14,precip_sampler,wet_only_sampler
BE01L_wados_hg_14,precip_sampler,wet_only_sampler
BE01L_wados_hg_14_dup,precip_sampler,wet_only_sampler
BE02L_chemilum_01,air_monitor,chemiluminescence_photolytic
BE02L_chemilum_32,air_monitor,chemiluminescence_photolytic
BE02L_chemilum_35,air_monitor,chemiluminescence_photolytic
BE02L_chemilum_h_0001,air_monitor,chemiluminescence_photolytic
BE02L_chemilum_h_0032,air_monitor,chemiluminescence_photolytic
BE02L_chemilum_h_0035,air_monitor,chemiluminescence_photolytic
BE02L_uv_abs_01,air_monitor,uv_abs
BE02L_uv_abs_32,air_monitor,uv_abs
BE02L_uv_abs_35,air_monitor,uv_abs
BE02L_uv_abs_h_0001,air_monitor,uv_abs
BE02L_uv_abs_h_0032,air_monitor,uv_abs
BE02L_uv_abs_h_0035,air_monitor,uv_abs
BE03L_Kipp-Zonen_Brewer_MkIII_178,air_monitor,sun_tracking_filter_radiometer
BE07L_IFT_LDMA_BE02,air_monitor,smps
BG01L_SMPS_IFT,air_monitor,smps
BG01L_SMPS_IFT_pm10,air_monitor,smps
BG01L_SMPS_ITF,air_monitor,smps
BG01L_TSI3563,air_monitor,nephelometer
BG01L_TSI_3563_BEO,air_monitor,nephelometer
BG01L_beo_o3,air_monitor,uv_abs
BG01L_uv_abs_53,air_monitor,uv_abs
BG01L_vaisala,phys_monitor,aws
BG02L_GMD_CLAP-3W_BEO,air_monitor,filter_absorption_photometer
BG02L_GMD_CLAP-3W_BEO_NRT,air_monitor,filter_absorption_photometer
BG02L_TSI_3563_BEO,air_monitor,nephelometer
BG02L_TSI_3563_BEO_NRT,air_monitor,nephelometer
BG03L_uv_abs_53,air_monitor,uv_abs
BO01L_Ecotech_Aurora3000_CHC_ambient,air_monitor,nephelometer
BO01L_Ecotech_Aurora_3000_CHC_ambient,air_monitor,nephelometer
BO01L_MAAP_5012_CHACALTAYA_BOLIVIA,air_monitor,filter_absorption_photometer
BO01L_Magee_AE31_CHC_ambient,air_monitor,filter_absorption_photometer
BO01L_SMPS_UMSA-LAP_CHACALTAYA_BOLIVIA,air_monitor,smps
BO01L_ThermoSci49i,air_monitor,uv_abs
BO01L_nephelometer_Ecotech_Aurora3000,air_monitor,nephelometer
BY01L_abst_4,air_sampler,abs_tube
BY01L_bs_1,precip_sampler,bulk_sampler
BY01L_bs_4,precip_sampler,bulk_sampler
BY01L_f3p_4,air_sampler,filter_3pack
CA01L_CA01L_gt420,air_sampler,gold_trap
CA01L_CLAP-3W_02_EGB_NRT,air_monitor,filter_absorption_photometer
CA01L_GMD_CLAP-3W_ALT_pm1,air_monitor,filter_absorption_photometer
CA01L_GMD_CLAP-3W_ALT_pm10,air_monitor,filter_absorption_photometer
CA01L_GMD_CLAP-3W_EGB_NRT,air_monitor,filter_absorption_photometer
CA01L_GMD_CLAP-3W_EGB_pm1,air_monitor,filter_absorption_photometer
CA01L_GMD_CLAP-3W_ETL_pm1,air_monitor,filter_absorption_photometer
CA01L_GMD_CLAP-3W_WHI_NRT,air_monitor,filter_absorption_photometer
CA01L_HVS1,air_sampler,high_vol_sampler
CA01L_HVS1_dup,air_sampler,high_vol_sampler
CA01L_HVS420,air_sampler,high_vol_sampler
CA01L_HVS420_HM_MC,air_sampler,high_vol_sampler
CA01L_HVSRU17,air_sampler,high_vol_sampler
CA01L_Magee_AE31_ALT,air_monitor,filter_absorption_photometer
CA01L_Magee_Aethalometer_ALT,air_monitor,filter_absorption_photometer
CA01L_NA,NA,NA
CA01L_O3mon_420,air_monitor,uv_abs
CA01L_Radiance-Research_PSAP-1W_ALT,air_monitor,filter_absorption_photometer
CA01L_Radiance-Research_PSAP-1W_ALT_pm1,air_monitor,filter_absorption_photometer
CA01L_Radiance-Research_PSAP-1W_ALT_pm10,air_monitor,filter_absorption_photometer
CA01L_Radiance-Research_PSAP-1W_EGB,air_monitor,filter_absorption_photometer
CA01L_Radiance-Research_PSAP-1W_EGB_pm1,air_monitor,filter_absorption_photometer
CA01L_Radiance-Research_PSAP-1W_EGB_pm10,air_monitor,filter_absorption_photometer
CA01L_Radiance-Research_PSAP-1W_ETL,air_monitor,filter_absorption_photometer
CA01L_Radiance-Research_PSAP-1W_ETL_NRT,air_monitor,filter_absorption_photometer
CA01L_Radiance-Research_PSAP-1W_ETL_pm1,air_monitor,filter_absorption_photometer
CA01L_Radiance-Research_PSAP-1W_ETL_pm10,air_monitor,filter_absorption_photometer
CA01L_Radiance-Research_PSAP-1W_WHI,air_monitor,filter_absorption_photometer
CA01L_Radiance-Research_PSAP-1W_WHI_pm1,air_monitor,filter_absorption_photometer
CA01L_Radiance-Research_PSAP-1W_WHI_pm10,air_monitor,filter_absorption_photometer
CA01L_Radiance-Research_PSAP-3W_ALT,air_monitor,filter_absorption_photometer
CA01L_Radiance-Research_PSAP-3W_ALT_NRT,air_monitor,filter_absorption_photometer
CA01L_Radiance-Research_PSAP-3W_ALT_pm1,air_monitor,filter_absorption_photometer
CA01L_Radiance-Research_PSAP-3W_ALT_pm10,air_monitor,filter_absorption_photometer
CA01L_Radiance-Research_PSAP-3W_ETL_pm1,air_monitor,filter_absorption_photometer
CA01L_Radiance-Research_PSAP-3W_WHI,air_monitor,filter_absorption_photometer
CA01L_Radiance-Research_PSAP-3W_WHI_pm1,air_monitor,filter_absorption_photometer
CA01L_Radiance-Research_PSAP-3W_WHI_pm10,air_monitor,filter_absorption_photometer
CA01L_Rahn1,air_sampler,high_vol_sampler
CA01L_TSI_3010_ALT,air_monitor,cpc
CA01L_TSI_3010_EGB,air_monitor,cpc
CA01L_TSI_3010_ETL,air_monitor,cpc
CA01L_TSI_3010_WHI,air_monitor,cpc
CA01L_TSI_3022A_WHI,air_monitor,cpc
CA01L_TSI_3563_ALT_NRT,air_monitor,nephelometer
CA01L_TSI_3563_ALT_aerosol,air_monitor,nephelometer
CA01L_TSI_3563_ALT_pm1,air_monitor,nephelometer
CA01L_TSI_3563_ALT_pm10,air_monitor,nephelometer
CA01L_TSI_3563_EGB,air_monitor,nephelometer
CA01L_TSI_3563_EGB_NRT,air_monitor,nephelometer
CA01L_TSI_3563_EGB_pm1,air_monitor,nephelometer
CA01L_TSI_3563_EGB_pm10,air_monitor,nephelometer
CA01L_TSI_3563_ETL,air_monitor,nephelometer
CA01L_TSI_3563_ETL_NRT,air_monitor,nephelometer
CA01L_TSI_3563_ETL_pm1,air_monitor,nephelometer
CA01L_TSI_3563_ETL_pm10,air_monitor,nephelometer
CA01L_TSI_3563_WHI,air_monitor,nephelometer
CA01L_TSI_3563_WHI_NRT,air_monitor,nephelometer
CA01L_TSI_3563_WHI_pm1,air_monitor,nephelometer
CA01L_TSI_3563_WHI_pm10,air_monitor,nephelometer
CA01L_TSI_3755_ALT,air_monitor,cpc
CA01L_TSI_3772_ALT,air_monitor,cpc
CA01L_TSI_3772_EGB,air_monitor,cpc
CA01L_TSI_3775_EGB,air_monitor,cpc
CA01L_TSI_3775_ETL,air_monitor,cpc
CA01L_TSI_3776_ETL,air_monitor,cpc
CA01L_TSI_CPC_ALT,air_monitor,cpc
CA01L_TSI_Neph_ALT,air_monitor,nephelometer
CA01L_TSI_Neph_EGB,air_monitor,nephelometer
CA01L_alg_o3,air_monitor,uv_abs
CA01L_alt_o3,air_monitor,uv_abs
CA01L_bra_o3,air_monitor,uv_abs
CA01L_cha_o3,air_monitor,uv_abs
CA01L_cps_o3,air_monitor,uv_abs
CA01L_egb_o3,air_monitor,uv_abs
CA01L_ela_o3,air_monitor,uv_abs
CA01L_est_o3,air_monitor,uv_abs
CA01L_filter_3pack_02,air_sampler,filter_3pack
CA01L_filter_3pack_03,air_sampler,filter_3pack
CA01L_filter_3pack_06,air_sampler,filter_3pack
CA01L_filter_3pack_08,air_sampler,filter_3pack
CA01L_filter_3pack_11_1,air_sampler,filter_3pack
CA01L_filter_3pack_12,air_sampler,filter_3pack
CA01L_filter_3pack_13,air_sampler,filter_3pack
CA01L_filter_3pack_15,air_sampler,filter_3pack
CA01L_filter_3pack_17,air_sampler,filter_3pack
CA01L_filter_3pack_18,air_sampler,filter_3pack
CA01L_filter_3pack_19,air_sampler,filter_3pack
CA01L_filter_3pack_22,air_sampler,filter_3pack
CA01L_filter_3pack_23,air_sampler,filter_3pack
CA01L_filter_3pack_79_2,air_sampler,filter_3pack
CA01L_gt420,air_sampler,gold_trap
CA01L_hvs_19,air_sampler,high_vol_sampler
CA01L_kej_o3,air_monitor,uv_abs
CA01L_lon_o3,air_monitor,uv_abs
CA01L_precip_gauge_02,precip_sampler,precip_gauge
CA01L_precip_gauge_03,precip_sampler,precip_gauge
CA01L_precip_gauge_04,precip_sampler,precip_gauge
CA01L_precip_gauge_05,precip_sampler,precip_gauge
CA01L_precip_gauge_06,precip_sampler,precip_gauge
CA01L_precip_gauge_07,precip_sampler,precip_gauge
CA01L_precip_gauge_08,precip_sampler,precip_gauge
CA01L_precip_gauge_09,precip_sampler,precip_gauge
CA01L_precip_gauge_10,precip_sampler,precip_gauge
CA01L_precip_gauge_11_1,precip_sampler,precip_gauge
CA01L_precip_gauge_11_2_2,precip_sampler,precip_gauge
CA01L_precip_gauge_12,precip_sampler,precip_gauge
CA01L_precip_gauge_13,precip_sampler,precip_gauge
CA01L_precip_gauge_14,precip_sampler,precip_gauge
CA01L_precip_gauge_15,precip_sampler,precip_gauge
CA01L_precip_gauge_16,precip_sampler,precip_gauge
CA01L_precip_gauge_17,precip_sampler,precip_gauge
CA01L_precip_gauge_18,precip_sampler,precip_gauge
CA01L_precip_gauge_19,precip_sampler,precip_gauge
CA01L_precip_gauge_20,precip_sampler,precip_gauge
CA01L_precip_gauge_21,precip_sampler,precip_gauge
CA01L_precip_gauge_22,precip_sampler,precip_gauge
CA01L_precip_gauge_23,precip_sampler,precip_gauge
CA01L_precip_gauge_3915,precip_sampler,precip_gauge
CA01L_precip_gauge_80_2,precip_sampler,precip_gauge
CA01L_precip_gauge_81,precip_sampler,precip_gauge
CA01L_precip_gauge_83,precip_sampler,precip_gauge
CA01L_precip_gauge_84,precip_sampler,precip_gauge
CA01L_sat_o3,air_monitor,uv_abs
CA01L_sut_o3,air_monitor,uv_abs
CA01L_tekran_2537A,air_sampler,gold_cartridge_cold_vapour_atomic_fluore
CA01L_tekran_2537A_1,air_monitor,tekran
CA01L_wet_only_sampler_02,precip_sampler,wet_only_sampler
CA01L_wet_only_sampler_03,precip_sampler,wet_only_sampler
CA01L_wet_only_sampler_04,precip_sampler,wet_only_sampler
CA01L_wet_only_sampler_05,precip_sampler,wet_only_sampler
CA01L_wet_only_sampler_06,precip_sampler,wet_only_sampler
CA01L_wet_only_sampler_08,precip_sampler,wet_only_sampler
CA01L_wet_only_sampler_09,precip_sampler,wet_only_sampler
CA01L_wet_only_sampler_10,precip_sampler,wet_only_sampler
CA01L_wet_only_sampler_11_1,precip_sampler,wet_only_sampler
CA01L_wet_only_sampler_11_2_2,precip_sampler,wet_only_sampler
CA01L_wet_only_sampler_12,precip_sampler,wet_only_sampler
CA01L_wet_only_sampler_13,precip_sampler,wet_only_sampler
CA01L_wet_only_sampler_14,precip_sampler,wet_only_sampler
CA01L_wet_only_sampler_15,precip_sampler,wet_only_sampler
CA01L_wet_only_sampler_16,precip_sampler,wet_only_sampler
CA01L_wet_only_sampler_17,precip_sampler,wet_only_sampler
CA01L_wet_only_sampler_18,precip_sampler,wet_only_sampler
CA01L_wet_only_sampler_19,precip_sampler,wet_only_sampler
CA01L_wet_only_sampler_20,precip_sampler,wet_only_sampler
CA01L_wet_only_sampler_21,precip_sampler,wet_only_sampler
CA01L_wet_only_sampler_22,precip_sampler,wet_only_sampler
CA01L_wet_only_sampler_23,precip_sampler,wet_only_sampler
CA01L_wet_only_sampler_3915,precip_sampler,wet_only_sampler
CA01L_wet_only_sampler_80_2,precip_sampler,wet_only_sampler
CA01L_wet_only_sampler_81,precip_sampler,wet_only_sampler
CA01L_wet_only_sampler_83,precip_sampler,wet_only_sampler
CA01L_wet_only_sampler_84,precip_sampler,wet_only_sampler
CA03L_precip_gauge_04_2,precip_sampler,precip_gauge
CA03L_precip_gauge_24,precip_sampler,precip_gauge
CA03L_precip_gauge_25,precip_sampler,precip_gauge
CA03L_precip_gauge_26,precip_sampler,precip_gauge
CA03L_precip_gauge_27,precip_sampler,precip_gauge
CA03L_precip_gauge_28,precip_sampler,precip_gauge
CA03L_precip_gauge_29,precip_sampler,precip_gauge
CA03L_precip_gauge_30,precip_sampler,precip_gauge
CA03L_precip_gauge_31,precip_sampler,precip_gauge
CA03L_precip_gauge_32,precip_sampler,precip_gauge
CA03L_precip_gauge_33,precip_sampler,precip_gauge
CA03L_precip_gauge_34,precip_sampler,precip_gauge
CA03L_precip_gauge_35,precip_sampler,precip_gauge
CA03L_wet_only_sampler_04_2,precip_sampler,wet_only_sampler
CA03L_wet_only_sampler_24,precip_sampler,wet_only_sampler
CA03L_wet_only_sampler_25,precip_sampler,wet_only_sampler
CA03L_wet_only_sampler_26,precip_sampler,wet_only_sampler
CA03L_wet_only_sampler_27,precip_sampler,wet_only_sampler
CA03L_wet_only_sampler_28,precip_sampler,wet_only_sampler
CA03L_wet_only_sampler_29,precip_sampler,wet_only_sampler
CA03L_wet_only_sampler_30,precip_sampler,wet_only_sampler
CA03L_wet_only_sampler_31,precip_sampler,wet_only_sampler
CA03L_wet_only_sampler_32,precip_sampler,wet_only_sampler
CA03L_wet_only_sampler_33,precip_sampler,wet_only_sampler
CA03L_wet_only_sampler_34,precip_sampler,wet_only_sampler
CA03L_wet_only_sampler_35,precip_sampler,wet_only_sampler
CA05L_Magee_Model_AE6,air_monitor,filter_absorption_photometer
CA08L_MageeAE31_420,air_monitor,filter_absorption_photometer
CA09L_305-2000,air_sampler,high_vol_sampler
CA09L_EC_lvs1_TOR,air_sampler,low_vol_sampler
CH01L_APMA360_01,air_sampler,ndir
CH01L_APMA360_1,air_sampler,ndir
CH01L_Aerodyne_Q-ACSM_140-105,air_monitor,aerosol_mass_spectrometer
CH01L_Agilent_ADS-GC-FID_cn10450060_RIG,air_monitor,online_gc
CH01L_Agilent_GC-MS-MEDUSA_Medusa-12_JFJ,air_monitor,online_gc
CH01L_Agilent_MARKES-GC-FID_cn13283047_BRM,air_monitor,online_gc
CH01L_Chemilum_02,air_monitor,chemiluminescence_photolytic
CH01L_Chemilum_02_dup,air_monitor,chemiluminescence_photometer
CH01L_Chemilum_03,air_monitor,chemiluminescence_photolytic
CH01L_Chemilum_04,air_monitor,chemiluminescence_photolytic
CH01L_Chemilum_05,air_monitor,chemiluminescence_photolytic
CH01L_Digitel_02,air_sampler,high_vol_sampler
CH01L_MEDUSA_JFJ,air_monitor,online_gc
CH01L_Sunset_thermal_optical_02,air_monitor,online_thermal-optical_analysis
CH01L_TAPIT500U_2,air_monitor,CAPS
CH01L_TAPIT500U_5,air_monitor,CAPS
CH01L_TEI-48C_TL_MKN,air_sampler,ndir
CH01L_TEI42ITL_BLC_2,air_monitor,chemiluminescence_photolytic
CH01L_TEI42ITL_BLC_5,air_monitor,chemiluminescence_photolytic
CH01L_TEI42ITL_BLC_photometer_5,air_monitor,chemiluminescence_photometer
CH01L_TEI42ITL_Mo_2,air_monitor,chemiluminescence_molybdenum
CH01L_TEI42ITL_Mo_4,air_monitor,chemiluminescence_molybdenum
CH01L_TEI42ITL_Mo_5,air_monitor,chemiluminescence_molybdenum
CH01L_TEI43ITL_1,air_monitor,uv_fluoresc
CH01L_TEI43ITL_2,air_monitor,uv_fluoresc
CH01L_TEI43ITL_5,air_monitor,uv_fluoresc
CH01L_TEI49I_1,air_monitor,uv_abs
CH01L_TEI49I_2,air_monitor,uv_abs
CH01L_TEI49I_3,air_monitor,uv_abs
CH01L_TEI49I_4,air_monitor,uv_abs
CH01L_TEI49I_5,air_monitor,uv_abs
CH01L_TEI49I_53,air_monitor,uv_abs
CH01L_TEI94C_1,air_monitor,uv_abs
CH01L_TEI_48C_TL_MKN,air_monitor,uv_fluoresc
CH01L_abs_01,air_sampler,abs_solution
CH01L_abs_02,air_sampler,abs_solution
CH01L_ae-31_2,air_monitor,filter_absorption_photometer
CH01L_ae-33_2,air_monitor,filter_absorption_photometer
CH01L_ae-33_5,air_monitor,filter_absorption_photometer
CH01L_apna360_3,air_monitor,chemiluminescence_photolytic
CH01L_apna370_Mo_3,air_monitor,chemiluminescence_molybdenum
CH01L_apna370_Mo_53,air_monitor,chemiluminescence_molybdenum
CH01L_bluelight5,air_monitor,chemiluminescence_photolytic
CH01L_bluelight_2,air_monitor,chemiluminescence_photolytic
CH01L_bluelight_5,air_monitor,chemiluminescence_photolytic
CH01L_bs_01,precip_sampler,bulk_sampler
CH01L_bs_02,precip_sampler,bulk_sampler
CH01L_bs_13,precip_sampler,bulk_sampler
CH01L_bs_14,precip_sampler,bulk_sampler
CH01L_bs_15,precip_sampler,bulk_sampler
CH01L_bs_16,precip_sampler,bulk_sampler
CH01L_chemilum_03,air_monitor,chemiluminescence_photolytic
CH01L_cranox1,air_monitor,chemiluminescence_photolytic
CH01L_cranox_01,air_monitor,chemiluminescence_photolytic
CH01L_cranox_1,air_monitor,chemiluminescence_photolytic
CH01L_cranox_1_dup,air_monitor,chemiluminescence_photometer
CH01L_cranox_5,air_monitor,chemiluminescence_photolytic
CH01L_cranox_photometer_1,air_monitor,chemiluminescence_photometer
CH01L_digitel_1,air_sampler,high_vol_sampler
CH01L_digitel_2,air_sampler,high_vol_sampler
CH01L_digitel_22,air_sampler,high_vol_sampler
CH01L_digitel_23,air_sampler,high_vol_sampler
CH01L_digitel_3,air_sampler,high_vol_sampler
CH01L_digitel_4,air_sampler,high_vol_sampler
CH01L_digitel_5,air_sampler,high_vol_sampler
CH01L_digitel_52,air_sampler,high_vol_sampler
CH01L_digitel_53,air_sampler,high_vol_sampler
CH01L_dra2,precip_sampler,wet_only_sampler
CH01L_dra_2,precip_sampler,wet_only_sampler
CH01L_dra_4,precip_sampler,wet_only_sampler
CH01L_dra_5,precip_sampler,wet_only_sampler
CH01L_f1p_01,air_sampler,filter_1pack
CH01L_f1p_02,air_sampler,filter_1pack
CH01L_f1p_03,air_sampler,filter_1pack
CH01L_f1p_04,air_sampler,filter_1pack
CH01L_f1p_05,air_sampler,filter_1pack
CH01L_f2p_02,air_sampler,filter_2pack
CH01L_f2p_05,air_sampler,filter_2pack
CH01L_f2p_2,air_sampler,filter_2pack
CH01L_f2p_5,air_sampler,filter_2pack
CH01L_hvs_01,air_sampler,high_vol_sampler
CH01L_hvs_02,air_sampler,high_vol_sampler
